email,first_name,last_name,skill_level
luis.suarez@saintsnfl.com,Luis,Suarez,Expert
fernando.torres@saintsnfl.com,Fernando,Torres,Novice
pepe.reina@saintsnfl.com,Pepe,Reina,COMPETENT
james.milner@saintsnfl.com,James,Milner,Expert
virgil.van@saintsnfl.com,Virgil,van,Novice
xabi.alonso@saintsnfl.com,Alisson,,COMPETENT
jordan.henderson@saintsnfl.com,Jordan,Henderson,COMPETENT
jordan.henderson@saintsnfl.com,Jordan,Henderson,Novice
invalid-email,,van,INVALID_LEVEL
phil.neal@saintsnfl.com,Phil,Neal,UNKNOWN
ian.rush@saintsnfl.com,Ian,Rush,COMPETENT
kenny.dalglish@saintsnfl.com,Kenny,Dalglish,UNKNOWN
jamie.carragher@saintsnfl.com,,Gerrard,COMPETENT
andy.robertson@saintsnfl.com,Fernando,Reina,COMPETENT
steven.gerrard@saintsnfl.com,Steven,Gerrard,Novice
virgil.van@saintsnfl.com,John,,INVALID_LEVEL
steven.gerrard@saintsnfl.com,Steven,Gerrard,Novice
james.milner@saintsnfl.com,James,Milner,Expert
andy.robertson@saintsnfl.com,Andy,Robertson,Novice
steven.gerrard@saintsnfl.com,,Becker,Novice
steven.gerrard@saintsnfl.com,Steven,Gerrard,UNKNOWN
xabi.alonso@saintsnfl.com,Xabi,Alonso,Expert
jamie.carragher@saintsnfl.com,Jamie,Carragher,Expert
pepe.reina@saintsnfl.com,Pepe,Reina,Novice
phil.neal@saintsnfl.com,Phil,Neal,UNKNOWN
jamie.carragher@saintsnfl.com,Jamie,Carragher,Novice
jamie.carragher@saintsnfl.com,Jamie,Carragher,UNKNOWN
trent.alexander-arnold@saintsnfl.com,Trent,Alexander-Arnold,Novice
mohamed.salah@saintsnfl.com,Mohamed,Salah,COMPETENT
virgil.van@saintsnfl.com,Virgil,van,Expert
jamie.carragher@saintsnfl.com,Jamie,Carragher,COMPETENT
trent.alexander-arnold@saintsnfl.com,Phil,,INVALID_LEVEL
invalid-email,Roberto,Souness,INVALID_LEVEL
sadio.mane@saintsnfl.com,Sadio,Mane,Expert
xabi.alonso@saintsnfl.com,Xabi,Alonso,Novice
john.barnes@saintsnfl.com,John,Barnes,COMPETENT
xabi.alonso@saintsnfl.com,Xabi,Alonso,UNKNOWN
james.milner@saintsnfl.com,James,Milner,COMPETENT
alisson.becker@saintsnfl.com,Alisson,Becker,Expert
steven.gerrard@saintsnfl.com,Steven,Gerrard,Expert
luis.suarez@saintsnfl.com,Luis,Suarez,COMPETENT
trent.alexander-arnold@saintsnfl.com,Trent,Alexander-Arnold,Novice
steven.gerrard@saintsnfl.com,Sadio,,COMPETENT
alisson.becker@saintsnfl.com,Alisson,Becker,COMPETENT
pepe.reina@saintsnfl.com,Pepe,Reina,UNKNOWN
jordan.henderson@saintsnfl.com,Jordan,Henderson,COMPETENT
ian.rush@saintsnfl.com,Ian,Rush,Novice
trent.alexander-arnold@saintsnfl.com,Trent,Alexander-Arnold,Novice
jamie.carragher@saintsnfl.com,Jamie,Carragher,Expert
