email,first_name,last_name,skill_level
demario.davis@saintsnfl.com,Demario,Davis,COMPETENT
terron.armstead@saintsnfl.com,Terron,Armstead,UNKNOWN
invalid-email,Michael,Thomas,INVALID_LEVEL
jimmy.graham@saintsnfl.com,Jimmy,Graham,COMPETENT
will.lutz@saintsnfl.com,Will,Lutz,UNKNOWN
marcus.davenport@saintsnfl.com,Marcus,Davenport,Novice
jimmy.graham@saintsnfl.com,Jimmy,Graham,Expert
terron.armstead@saintsnfl.com,Terron,Armstead,Novice
jimmy.graham@saintsnfl.com,Jimmy,Graham,UNKNOWN
invalid-email,Michael,,INVALID_LEVEL
mark.ingram@saintsnfl.com,Marshon,,UNKNOWN
terron.armstead@saintsnfl.com,Terron,Armstead,Novice
joe.horn@saintsnfl.com,Joe,Horn,Novice
archie.manning@saintsnfl.com,,McAllister,INVALID_LEVEL
jimmy.graham@saintsnfl.com,Jimmy,Graham,COMPETENT
marshon.lattimore@saintsnfl.com,Marshon,Lattimore,Novice
marshon.lattimore@saintsnfl.com,Marshon,Lattimore,COMPETENT
jimmy.graham@saintsnfl.com,Joe,,Expert
malcolm.jenkins@saintsnfl.com,Malcolm,Jenkins,COMPETENT
deuce.mcallister@saintsnfl.com,Deuce,McAllister,COMPETENT
demario.davis@saintsnfl.com,Demario,Davis,UNKNOWN
drew.brees@saintsnfl.com,Drew,Brees,COMPETENT
mark.ingram@saintsnfl.com,Mark,Ingram,UNKNOWN
invalid-email,,,INVALID_LEVEL
reggie.bush@saintsnfl.com,Reggie,Bush,Novice
will.smith@saintsnfl.com,Will,Smith,Expert
pierre.thomas@saintsnfl.com,Pierre,Thomas,Novice
will.smith@saintsnfl.com,Will,Smith,Expert
reggie.bush@saintsnfl.com,Reggie,Bush,UNKNOWN
reggie.bush@saintsnfl.com,Reggie,Bush,Novice
pierre.thomas@saintsnfl.com,Pierre,Thomas,UNKNOWN
demario.davis@saintsnfl.com,Demario,Davis,UNKNOWN
reggie.bush@saintsnfl.com,Reggie,Bush,COMPETENT
pierre.thomas@saintsnfl.com,Pierre,Thomas,UNKNOWN
archie.manning@saintsnfl.com,Jimmy,Manning,UNKNOWN
joe.horn@saintsnfl.com,Joe,Horn,Novice
cameron.jordan@saintsnfl.com,Cameron,Jordan,Expert
taysom.hill@saintsnfl.com,Taysom,Hill,COMPETENT
marshon.lattimore@saintsnfl.com,Marshon,Lattimore,Novice
taysom.hill@saintsnfl.com,Taysom,Hill,COMPETENT
cameron.jordan@saintsnfl.com,Cameron,Jordan,COMPETENT
reggie.bush@saintsnfl.com,Reggie,Bush,COMPETENT
pierre.thomas@saintsnfl.com,Pierre,Thomas,Expert
reggie.bush@saintsnfl.com,Reggie,Bush,UNKNOWN
mark.ingram@saintsnfl.com,Mark,Ingram,COMPETENT
invalid-email,,,COMPETENT
invalid-email,Michael,,Expert
deuce.mcallister@saintsnfl.com,Deuce,McAllister,COMPETENT
demario.davis@saintsnfl.com,Demario,Davis,COMPETENT
alvin.kamara@saintsnfl.com,Alvin,Kamara,Novice
deuce.mcallister@saintsnfl.com,Deuce,McAllister,COMPETENT
invalid-email,Ricky,Lattimore,Novice
archie.manning@saintsnfl.com,Archie,Manning,COMPETENT
ricky.jackson@saintsnfl.com,Ricky,Jackson,COMPETENT
invalid-email,Pierre,Lutz,UNKNOWN
reggie.bush@saintsnfl.com,Reggie,Bush,UNKNOWN
reggie.bush@saintsnfl.com,Reggie,Bush,Expert
will.smith@saintsnfl.com,Will,Smith,Novice
pierre.thomas@saintsnfl.com,Pierre,Thomas,Expert
michael.thomas@saintsnfl.com,Michael,Thomas,UNKNOWN
drew.brees@saintsnfl.com,,,Expert
cameron.jordan@saintsnfl.com,Cameron,Jordan,Expert
mark.ingram@saintsnfl.com,Mark,Ingram,Novice
invalid-email,Cameron,,INVALID_LEVEL
malcolm.jenkins@saintsnfl.com,Malcolm,Jenkins,UNKNOWN
demario.davis@saintsnfl.com,Reggie,Thomas,INVALID_LEVEL
mark.ingram@saintsnfl.com,Mark,Ingram,Expert
drew.brees@saintsnfl.com,,,INVALID_LEVEL
mark.ingram@saintsnfl.com,Mark,Ingram,UNKNOWN
alvin.kamara@saintsnfl.com,Alvin,Kamara,UNKNOWN
reggie.bush@saintsnfl.com,Reggie,Bush,UNKNOWN
reggie.bush@saintsnfl.com,Reggie,Bush,UNKNOWN
cameron.jordan@saintsnfl.com,Cameron,Jordan,Novice
archie.manning@saintsnfl.com,Archie,Manning,UNKNOWN
reggie.bush@saintsnfl.com,Reggie,Bush,COMPETENT
terron.armstead@saintsnfl.com,Terron,Armstead,Expert
terron.armstead@saintsnfl.com,Terron,Armstead,Expert
michael.thomas@saintsnfl.com,Michael,Thomas,Novice
jimmy.graham@saintsnfl.com,Jimmy,Graham,COMPETENT
demario.davis@saintsnfl.com,Demario,Davis,Expert
marshon.lattimore@saintsnfl.com,Marshon,Lattimore,Expert
ricky.jackson@saintsnfl.com,Ricky,Jackson,Novice
alvin.kamara@saintsnfl.com,Alvin,Kamara,COMPETENT
invalid-email,Reggie,Hill,INVALID_LEVEL
jimmy.graham@saintsnfl.com,,,INVALID_LEVEL
deuce.mcallister@saintsnfl.com,Deuce,McAllister,Expert
malcolm.jenkins@saintsnfl.com,Malcolm,Jenkins,COMPETENT
will.lutz@saintsnfl.com,Will,Lutz,Expert
cameron.jordan@saintsnfl.com,Cameron,Jordan,Novice
will.smith@saintsnfl.com,Will,Smith,Novice
ricky.jackson@saintsnfl.com,Ricky,Jackson,Expert
marshon.lattimore@saintsnfl.com,Marshon,Lattimore,UNKNOWN
deuce.mcallister@saintsnfl.com,Deuce,McAllister,COMPETENT
michael.thomas@saintsnfl.com,Michael,Thomas,Novice
ricky.jackson@saintsnfl.com,Ricky,Jackson,COMPETENT
invalid-email,Jimmy,Davis,INVALID_LEVEL
mark.ingram@saintsnfl.com,,Graham,Expert
pierre.thomas@saintsnfl.com,Pierre,Thomas,Expert
archie.manning@saintsnfl.com,Archie,Manning,Novice
mark.ingram@saintsnfl.com,Mark,Ingram,Expert
