email,first_name,last_name,skill_level
drew14@example.com,alexander,DreXel,INVALID_LEVEL
sara79@example.com,Sara,WIlson,Expert
drew81@example.com,dreW,DreXel,UNKNOWN
sara69@example.com,Sara,brown,Novice
michael46@example.com,,,INVALID_LEVEL
john63@example.com,John,Smith,Expert
katharine89@example.com,katHARine,brown,UNKNOWN
alexander48@example.com,alexander,WIlson,COMPETENT
drew45@example.com,dreW,green,COMPETENT
sara56@example.com,Sara,tayLor,Novice
sara64@example.com,Sara,green,COMPETENT
alexander92@example.com,alexander,brown,Novice
sara75@example.com,,Jones,COMPETENT
sara15@example.com,Sara,brown,Expert
jane81@example.com,Jane,DreXel,UNKNOWN
drew36@example.com,dreW,brown,COMPETENT
drew61@example.com,,,INVALID_LEVEL
jane50@example.com,Jane,brown,Expert
alexander50@example.com,alexander,brown,Novice
sara43@example.com,Sara,brown,COMPETENT
drew84@example.com,dreW,green,Expert
invalid-email,,,INVALID_LEVEL
jane8@example.com,,,INVALID_LEVEL
invalid-email,,tayLor,Novice
invalid-email,,,Expert
michael48@example.com,Michael,,Novice
katharine42@example.com,katHARine,green,Expert
sara65@example.com,Sara,tayLor,COMPETENT
jane3@example.com,Jane,DreXel,COMPETENT
michael54@example.com,Michael,brown,COMPETENT
sara35@example.com,Sara,WIlson,Novice
invalid-email,,,INVALID_LEVEL
alexander11@example.com,Sara,tayLor,INVALID_LEVEL
sara40@example.com,Sara,brown,Expert
jane23@example.com,Jane,Smith,Expert
drew62@example.com,dreW,green,Expert
jane81@example.com,Jane,WIlson,COMPETENT
jane35@example.com,Jane,Jones,UNKNOWN
invalid-email,,,INVALID_LEVEL
john83@example.com,John,Jones,Novice
jane92@example.com,Jane,brown,Expert
sara42@example.com,Sara,green,COMPETENT
michael6@example.com,Michael,tayLor,Novice
drew59@example.com,dreW,green,Expert
john53@example.com,John,WIlson,Expert
drew95@example.com,dreW,WIlson,Novice
drew83@example.com,dreW,Jones,COMPETENT
michael60@example.com,Michael,DreXel,Expert
michael27@example.com,Michael,brown,Novice
john67@example.com,Sara,Smith,INVALID_LEVEL
alexander50@example.com,alexander,DreXel,UNKNOWN
alexander2@example.com,alexander,Jones,Expert
alexander80@example.com,alexander,green,UNKNOWN
invalid-email,alexander,DreXel,UNKNOWN
michael24@example.com,katHARine,Jones,COMPETENT
jane81@example.com,Jane,Jones,Novice
michael60@example.com,Michael,WIlson,UNKNOWN
alexander70@example.com,alexander,WIlson,Expert
invalid-email,dreW,,Expert
invalid-email,katHARine,Smith,COMPETENT
jane83@example.com,,,INVALID_LEVEL
alexander23@example.com,alexander,Smith,Expert
drew94@example.com,dreW,WIlson,Expert
john49@example.com,John,brown,COMPETENT
alexander30@example.com,John,,COMPETENT
michael45@example.com,Michael,brown,Novice
sara59@example.com,Sara,Smith,Novice
invalid-email,,tayLor,UNKNOWN
jane33@example.com,Jane,brown,UNKNOWN
sara12@example.com,Sara,WIlson,UNKNOWN
michael77@example.com,Michael,,Expert
jane64@example.com,Jane,brown,UNKNOWN
katharine72@example.com,katHARine,Smith,UNKNOWN
jane4@example.com,Jane,tayLor,UNKNOWN
invalid-email,,,INVALID_LEVEL
invalid-email,,brown,INVALID_LEVEL
jane24@example.com,Jane,DreXel,Novice
jane28@example.com,Jane,Jones,UNKNOWN
michael76@example.com,,Jones,INVALID_LEVEL
katharine70@example.com,katHARine,brown,Expert
michael17@example.com,Michael,green,Expert
john38@example.com,John,tayLor,Expert
katharine83@example.com,katHARine,DreXel,Novice
drew91@example.com,dreW,brown,COMPETENT
katharine3@example.com,katHARine,Jones,Expert
michael81@example.com,Michael,Jones,Novice
jane29@example.com,Jane,brown,Expert
sara31@example.com,Sara,Smith,COMPETENT
john43@example.com,John,brown,Expert
john44@example.com,John,green,COMPETENT
michael70@example.com,Michael,WIlson,UNKNOWN
katharine76@example.com,katHARine,brown,UNKNOWN
sara97@example.com,Sara,brown,UNKNOWN
michael81@example.com,Michael,DreXel,COMPETENT
michael37@example.com,Michael,tayLor,UNKNOWN
drew3@example.com,dreW,green,Novice
michael25@example.com,Michael,green,Novice
michael85@example.com,Michael,DreXel,Expert
alexander31@example.com,alexander,Jones,COMPETENT
sara100@example.com,Sara,green,UNKNOWN
